"Artist","Track","Album","Track Number","Year"
"...Of Celestial","Purification","The Strange Infinity","1","2009"
"...Of Celestial","Slave of Emptiness","The Strange Infinity","2","2009"
"...Of Celestial","Viking's Song","The Strange Infinity","3","2009"
"...Of Celestial","Engrossed by Eternity","The Strange Infinity","4","2009"
"...Of Celestial","In Your Eyes","The Strange Infinity","5","2009"
"...Of Celestial","Minutes of Oblivion","The Strange Infinity","6","2009"
"...Of Celestial","Reconciliation With Destiny","The Strange Infinity","7","2009"
"...Of Celestial","It's Only Darkness and the Gloom","The Strange Infinity","8","2009"
"2nd Suicide","Epitaph For The Proud","Epitaph For The Proud","1","2008"
"2nd Suicide","Garden of Stone","Epitaph For The Proud","2","2008"
"2nd Suicide","The Drowning Sun","Promo 2007","1","2007"
"2nd Suicide","Last of Kin","Promo 2007","2","2007"
"2nd Suicide","Words","Promo 2007","3","2007"
"3 Inches Of Blood","Battles And Brotherhood","Here Waits Thy Doom","1","2009"
"3 Inches Of Blood","Rock In Hell","Here Waits Thy Doom","2","2009"
"3 Inches Of Blood","Silent Killer","Here Waits Thy Doom","3","2009"
"3 Inches Of Blood","Fierce Defender","Here Waits Thy Doom","4","2009"
"3 Inches Of Blood","Preacher's Daughter","Here Waits Thy Doom","5","2009"
"3 Inches Of Blood","Call Of the Hammer","Here Waits Thy Doom","6","2009"
"3 Inches Of Blood","Snake Lighter","Here Waits Thy Doom","7","2009"
"3 Inches Of Blood","At The Foot Of The Great Glacier","Here Waits Thy Doom","8","2009"
"3 Inches Of Blood","All Of Them Witches","Here Waits Thy Doom","9","2009"
"3 Inches Of Blood","12:34","Here Waits Thy Doom","10","2009"
"3 Inches Of Blood","Execution Tank","Here Waits Thy Doom","11","2009"
"36 Crazyfists","The All Night Lights","The Tide And Its Takers","1","2008"
"36 Crazyfists","We Gave It Hell","The Tide And Its Takers","2","2008"
"36 Crazyfists","The Back Harlow Road","The Tide And Its Takers","3","2008"
"36 Crazyfists","Clear The Coast","The Tide And Its Takers","4","2008"
"36 Crazyfists","Waiting On A War","The Tide And Its Takers","5","2008"
"36 Crazyfists","Only A Year Or So...","The Tide And Its Takers","6","2008"
"36 Crazyfists","Absent Are The Saints","The Tide And Its Takers","7","2008"
"36 Crazyfists","Vast And Vague","The Tide And Its Takers","8","2008"
"36 Crazyfists","When Distance Is The Closest Reminder","The Tide And Its Takers","9","2008"
"36 Crazyfists","Northern November","The Tide And Its Takers","10","2008"
"36 Crazyfists","The Tide And Its Takers","The Tide And Its Takers","11","2008"
"A Thousand Years Slavery","Epicurean","A Fury Named Spartan","1","2008"
"A Thousand Years Slavery","Drastic Oversleep","A Fury Named Spartan","2","2008"
"A Thousand Years Slavery","An Eternal Tree","A Fury Named Spartan","3","2008"
"A Thousand Years Slavery","Une Etoile Incandescente","A Fury Named Spartan","4","2008"
"A Thousand Years Slavery","A Fury Named Spartan","A Fury Named Spartan","5","2008"
"A Thousand Years Slavery","Betrayed Flavour","A Fury Named Spartan","6","2008"
"Abigail Williams","Hope The Great Betrayal","In The Absence Of Light","1","2010"
"Abigail Williams","Final Destiny Of The Gods","In The Absence Of Light","2","2010"
"Abigail Williams","The Mysteries That Bind The Flesh","In The Absence Of Light","3","2010"
"Abigail Williams","Infernal Divide","In The Absence Of Light","4","2010"
"Abigail Williams","In Death Comes The Great Silence","In The Absence Of Light","5","2010"
"Abigail Williams","What Hells Await Me","In The Absence Of Light","6","2010"
"Abigail Williams","An Echo In The Legends","In The Absence Of Light","7","2010"
"Abigail Williams","Malediction","In The Absence Of Light","8","2010"
"Abysmal Dawn","The Age Of Ruin","Leveling The Plane Of Existence","1","2011"
"Abysmal Dawn","Pixilated Ignorance","Leveling The Plane Of Existence","2","2011"
"Abysmal Dawn","In Service Of Time","Leveling The Plane Of Existence","3","2011"
"Abysmal Dawn","Rapture Renowned","Leveling The Plane Of Existence","4","2011"
"Abysmal Dawn","Our Primitive Nature","Leveling The Plane Of Existence","5","2011"
"Abysmal Dawn","Perpetual Dormancy","Leveling The Plane Of Existence","6","2011"
"Abysmal Dawn","Leveling The Plane Of Existence","Leveling The Plane Of Existence","7","2011"
"Abysmal Dawn","Manufactured Humanity","Leveling The Plane Of Existence","8","2011"
"Abysmal Dawn","My Own Savior","Leveling The Plane Of Existence","9","2011"
"Abysmal Dawn","The Sleeper Awakens","Leveling The Plane Of Existence","10","2011"
"Aeternam","Ars Almadel","Disciples of the Unseen","1","2010"
"Aeternam","Angel Horned","Disciples of the Unseen","2","2010"
"Aeternam","Esoteric Formulae","Disciples of the Unseen","3","2010"
"Aeternam","The Coronation of Seth","Disciples of the Unseen","4","2010"
"Aeternam","Hamunaptra","Disciples of the Unseen","5","2010"
"Aeternam","Iteru","Disciples of the Unseen","6","2010"
"Aeternam","Goddess of Masr","Disciples of the Unseen","7","2010"
"Aeternam","Ouroboros","Disciples of the Unseen","8","2010"
"Aeternam","Circle in Flames","Disciples of the Unseen","9","2010"
"Aeternam","Through the Eyes of Ea","Disciples of the Unseen","10","2010"
"aFREUDIANSLIP","Swear","The Accused","1","2008"
"aFREUDIANSLIP","The Escape","The Accused","2","2008"
"aFREUDIANSLIP","Clear The Memory","The Accused","3","2008"
"aFREUDIANSLIP","Improvidence","The Accused","4","2008"
"aFREUDIANSLIP","Little One (If You Care)","The Accused","5","2008"
"aFREUDIANSLIP","The Accused","The Accused","6","2008"
"aFREUDIANSLIP","Circle","The Accused","7","2008"
"aFREUDIANSLIP","Element Of","The Accused","8","2008"
"aFREUDIANSLIP","Through The Wake","The Accused","9","2008"
